Plate ID,Treatment,Genotype  GWAS # in GH,Genotype_ID,Block,Date collected,Date on media,Location of plants,Note
9093,CTR,4181,BESC-213,B1,6/28/22,6/30/22,E15,New plants 2022
9094,CTR,4181,BESC-213,B2,6/28/22,6/30/22,E15,New plants 2022
9095,CTR,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022
9096,AS,4181,BESC-213,B1,6/28/22,6/30/22,E15,New plants 2022
9097,AS,4181,BESC-213,B2,6/28/22,6/30/22,E15,New plants 2022
9098,AS,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022
9099,CTR,4385,BESC-432,B1,6/28/22,6/30/22,E15,New plants 2022
9100,CTR,4385,BESC-432,B2,6/28/22,6/30/22,E15,New plants 2022
9101,CTR,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022
9102,AS,4385,BESC-432,B1,6/28/22,6/30/22,E15,New plants 2022
9103,AS,4385,BESC-432,B2,6/28/22,6/30/22,E15,New plants 2022
9104,AS,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022
9105,CTR,4560,BESC-899,B1,6/28/22,6/30/22,E15,New plants 2022
9106,CTR,4560,BESC-899,B2,6/28/22,6/30/22,E15,New plants 2022
9107,CTR,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022
9108,AS,4560,BESC-899,B1,6/28/22,6/30/22,E15,New plants 2022
9109,AS,4560,BESC-899,B2,6/28/22,6/30/22,E15,New plants 2022
9110,AS,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022
9111,CTR,4749,GW-9816,B1,6/28/22,6/30/22,E15,New plants 2022
9112,CTR,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022
9113,CTR,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022
9114,AS,4749,GW-9816,B1,6/28/22,6/30/22,E15,New plants 2022
9115,AS,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022
9116,AS,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022
9117,CTR,4902,KTMC-12-1,B1,6/28/22,6/30/22,E15,New plants 2022
9118,CTR,4902,KTMC-12-1,B2,6/28/22,6/30/22,E15,New plants 2022
9119,CTR,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022
9120,AS,4902,KTMC-12-1,B1,6/28/22,6/30/22,E15,New plants 2022
9121,AS,4902,KTMC-12-1,B2,6/28/22,6/30/22,E15,New plants 2022
9122,AS,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022
9123,CTR,4928,MTSM-27-3,B1,6/28/22,6/30/22,E15,New plants 2022
9124,CTR,4928,MTSM-27-3,B2,6/28/22,6/30/22,E15,New plants 2022
9125,CTR,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022
9126,AS,4928,MTSM-27-3,B1,6/28/22,6/30/22,E15,New plants 2022
9127,AS,4928,MTSM-27-3,B2,6/28/22,6/30/22,E15,New plants 2022
9128,AS,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022
9129,CTR,4554,BESC-893,B1,6/28/22,6/30/22,E15,New plants 2022
9130,CTR,4554,BESC-893,B2,6/28/22,6/30/22,E15,New plants 2022
9131,CTR,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022
9132,AS,4554,BESC-893,B1,6/28/22,6/30/22,E15,New plants 2022
9133,AS,4554,BESC-893,B2,6/28/22,6/30/22,E15,New plants 2022
9134,AS,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022
9135,CTR,4934,NHTB-27-3,B1,6/28/22,6/30/22,E15,New plants 2022
9136,CTR,4934,NHTB-27-3,B2,6/28/22,6/30/22,E15,New plants 2022
9137,CTR,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022
9138,AS,4934,NHTB-27-3,B1,6/28/22,6/30/22,E15,New plants 2022
9139,AS,4934,NHTB-27-3,B2,6/28/22,6/30/22,E15,New plants 2022
9140,AS,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022
