dirs,phase,timepoint,phase_timepoint,is_duplicated
/media//gmobot/Elements_10,"","",_,TRUE
/media//gmobot/Elements_10/GWAS_Transformation_samples_for_annotation,"","",_,FALSE
Missing,"",wk10,_wk10,FALSE
Missing,"",wk3,_wk3,FALSE
Missing,"",wk7,_wk7,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTAA/wk10,GTAA,wk10,GTAA_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTAA/wk3,GTAA,wk3,GTAA_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTAA/wk7,GTAA,wk7,GTAA_wk7,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTAAA/wk10,GTAAA,wk10,GTAAA_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTAAA/wk3,GTAAA,wk3,GTAAA_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTAAA/wk7,GTAAA,wk7,GTAAA_wk7,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTB/wk10,GTB,wk10,GTB_wk10,FALSE
/media//gmobot/Elements_8/GoogleDrive/Images_Elements_8/GWAS_Transformation/GTB/wk3,GTB,wk3,GTB_wk3,FALSE
/media//gmobot/Elements_8/GoogleDrive/Images_Elements_8/GWAS_Transformation/GTB/wk7,GTB,wk7,GTB_wk7,FALSE
/media//gmobot/Elements_9/GWAS_Transformation/GTB/wk7,GTB,wk7,GTB_wk7,TRUE
/media//gmobot/easystore/GWAS_Transformation/GTBB/wk10,GTBB,wk10,GTBB_wk10,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTBB/wk3,GTBB,wk3,GTBB_wk3,FALSE
/media//gmobot/easystore/GWAS_Transformation/GTBB/wk7,GTBB,wk7,GTBB_wk7,FALSE
/media//gmobot/MyBook_16/MyBook_16/GWAS_Transformation/GTBBB/wk10,GTBBB,wk10,GTBBB_wk10,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTBBB/wk3,GTBBB,wk3,GTBBB_wk3,FALSE
/media//gmobot/Expansio_15/Expansion_15/GWAS_Transformation/GTBBB/wk7,GTBBB,wk7,GTBBB_wk7,FALSE
/media//gmobot/Elements_10/GWAS_Transformation/GTC/wk10,GTC,wk10,GTC_wk10,FALSE
